0.001500 9.670735e+00 2.747874e-04 5.775759e-01 2.747874e-04
0.001999 8.446558e+00 6.995748e-04 6.891494e-01 1.998249e-04
0.002499 7.364733e+00 1.124362e-03 6.415511e-01 1.248624e-04
0.002999 6.601693e+00 5.496498e-04 5.521505e-01 4.989995e-05
0.003499 5.979645e+00 9.744372e-04 4.707060e-01 2.506253e-05
0.003998 5.434201e+00 8.994747e-04 4.181828e-01 1.000250e-04
0.004498 5.033455e+00 8.245123e-04 4.020890e-01 1.749875e-04
0.004998 4.675771e+00 7.495498e-04 4.112711e-01 2.497999e-04
0.005498 4.333379e+00 6.745873e-04 3.655735e-01 1.748374e-04
0.005997 4.080079e+00 5.996248e-04 3.564237e-01 9.987494e-05
0.006497 3.839452e+00 5.246623e-04 3.111166e-01 2.491246e-05
0.006997 3.633118e+00 9.494497e-04 3.043342e-01 5.005003e-05
0.007497 3.422203e+00 8.744872e-04 2.722049e-01 1.250125e-04
0.007996 3.269691e+00 7.995248e-04 2.767548e-01 1.999750e-04
0.008496 3.114557e+00 7.245623e-04 2.626519e-01 2.749375e-04
0.008996 2.978053e+00 6.495998e-04 2.382211e-01 1.498499e-04
0.009496 2.840768e+00 1.074387e-03 2.368226e-01 7.488744e-05
0.009995 2.723400e+00 4.996748e-04 2.232541e-01 7.503852e-08
0.010495 2.621292e+00 9.244622e-04 2.038607e-01 7.503752e-05
0.011495 2.434347e+00 7.745373e-04 2.005782e-01 2.249625e-04
0.011994 2.340300e+00 6.995748e-04 1.913484e-01 2.999250e-04
0.012494 2.259050e+00 6.246123e-04 1.758018e-01 1.248624e-04
0.013494 2.117989e+00 9.744372e-04 1.705823e-01 2.506253e-05
0.013993 2.055454e+00 8.994747e-04 1.640182e-01 1.000250e-04
0.014993 1.933412e+00 7.495498e-04 1.562814e-01 2.497999e-04
0.015992 1.826642e+00 5.996248e-04 1.459920e-01 9.987494e-05
0.016492 1.776477e+00 5.246623e-04 1.394748e-01 2.491246e-05
0.017492 1.691291e+00 8.744872e-04 1.342109e-01 1.250125e-04
0.018491 1.608045e+00 7.245623e-04 1.302138e-01 2.749375e-04
0.019990 1.496799e+00 9.994247e-04 1.110425e-01 7.503852e-08
0.020990 1.434294e+00 8.494998e-04 1.145365e-01 1.500000e-04
0.021989 1.381797e+00 6.995748e-04 1.119494e-01 2.999250e-04
0.023489 1.293579e+00 9.744372e-04 9.441604e-02 2.506253e-05
0.024988 1.223038e+00 7.495498e-04 9.933026e-02 2.499500e-04
0.026487 1.164944e+00 5.246623e-04 9.149530e-02 2.491246e-05
0.027986 1.102372e+00 7.995248e-04 8.314181e-02 2.997749e-04
0.029486 1.049602e+00 5.746373e-04 8.459781e-02 7.488744e-05
0.030985 1.004112e+00 8.494998e-04 7.839484e-02 1.500000e-04
0.032984 9.500213e-01 1.049400e-03 7.073005e-02 4.989995e-05
0.034983 8.958690e-01 7.495498e-04 7.204132e-02 2.499500e-04
0.036982 8.497917e-01 4.496999e-04 6.343830e-02 5.005003e-05
0.038981 8.132201e-01 6.495998e-04 6.050156e-02 1.498499e-04
0.041480 7.629414e-01 7.745373e-04 6.138462e-02 2.249625e-04
0.043978 7.208272e-01 8.994747e-04 5.173105e-02 1.000250e-04
0.046477 6.880356e-01 5.246623e-04 5.208600e-02 2.491246e-05
0.049476 6.451149e-01 5.746373e-04 5.133828e-02 7.488744e-05
0.052474 6.091509e-01 6.246123e-04 4.344371e-02 1.248624e-04
0.055473 5.811259e-01 6.745873e-04 4.458652e-02 1.748374e-04
0.058471 5.500194e-01 7.245623e-04 4.303924e-02 2.749375e-04
0.061969 5.191220e-01 6.995748e-04 3.719584e-02 1.998249e-04
0.065967 4.918656e-01 5.996248e-04 3.821232e-02 9.987494e-05
0.069466 4.662999e-01 1.074387e-03 3.545143e-02 4.248624e-04
0.073963 4.375491e-01 8.994747e-04 3.140035e-02 1.000250e-04
0.078461 4.159282e-01 7.245623e-04 3.265296e-02 2.248124e-04
0.082959 3.923534e-01 1.049400e-03 2.822933e-02 4.498499e-04
0.087956 3.698252e-01 7.995248e-04 2.734730e-02 1.999750e-04
0.092954 3.527694e-01 1.049400e-03 2.772655e-02 4.989995e-05
0.098451 3.321211e-01 7.245623e-04 2.346536e-02 2.248124e-04
0.104448 3.127675e-01 8.245123e-04 2.352152e-02 3.247624e-04
0.110445 2.980761e-01 9.244622e-04 2.312144e-02 7.503752e-05
0.116942 2.806287e-01 9.494497e-04 1.984378e-02 5.005003e-05
0.123938 2.645106e-01 8.994747e-04 2.010002e-02 1.000250e-04
