theta,chi,fold_lo,fold_hi,class
0.8,0.2,0.1475,0.2005,1
0.8,0.25,0.141,0.199,1
0.8,0.3,0.134,0.198,1
0.8,0.35,0.1275,0.1965,1
0.8,0.4,0.12,0.195,1
0.8,0.45,0.113,0.1935,1
0.8,0.5,0.105,0.1925,1
0.8,0.55,0.0975,0.191,1
0.8,0.6,0.089,0.19,1
0.8,0.65,0.0805,0.1885,1
0.8,0.7,0.0715,0.1875,1
